proc_cd,modifier,description,rate,rate_unit,is_by_report,region_type,region_value
0001U-8,,,715.61,1,False,state,AL
0002U-8,,,116.94,1,False,state,AL
0003U-8,,,127.01,1,False,state,AL
0004U-8,,,47.86,1,False,state,AL
0005U-8,,,3106.67,1,False,state,AL
0007U-8,,,114.41,1,False,state,AL
0008U-8,,,585.55,1,False,state,AL
0009U-8,,,29.89,1,False,state,AL
0010U-8,,,102.3,1,False,state,AL
0011U-8,,,114.41,1,False,state,AL
0016U-8,,,218.72,1,False,state,AL
0017M-8,,,4726.1,1,False,state,AL
0017U-8,,,122.28,1,False,state,AL
00731-4,,,369.56,1,False,state,AL
00732-4,,,369.56,1,False,state,AL
0080U-8,,,23.19,1,False,state,AL
00811-4,,,408.45,1,False,state,AL
00812-4,,,408.45,1,False,state,AL
00813-4,,,408.45,1,False,state,AL
0082U-8,,,97.03,1,False,state,AL
0140U-8,,,27.1,1,False,state,AL
0141U-8,,,27.1,1,False,state,AL
0142U-8,,,27.1,1,False,state,AL
0152U-8,,,27.1,1,False,state,AL
0153U-8,,,5253.07,1,False,state,AL
0154U-8,,,108.68,1,False,state,AL
0155U-8,,,108.68,1,False,state,AL
0156U-8,,,2562.64,1,False,state,AL
0157U-8,,,629.27,1,False,state,AL
0158U-8,,,629.27,1,False,state,AL
0159U-8,,,629.27,1,False,state,AL
0160U-8,,,629.27,1,False,state,AL
0161U-8,,,629.27,1,False,state,AL
0162U-8,,,1258.53,1,False,state,AL
01953-4,,,57.95,1,False,state,AL
01967-4,,,658.55,1,False,state,AL
01968-4,,,197.57,1,False,state,AL
01996-6CPT,,,111.72,1,False,state,AL
0228U-8,,,548.48,1,False,state,AL
0229U-8,,,619.57,1,False,state,AL
0230U-8,,,279.79,1,False,state,AL
0231U-8,,,279.79,1,False,state,AL
0232U-8,,,279.79,1,False,state,AL
0233U-8,,,279.79,1,False,state,AL
0234U-8,,,279.79,1,False,state,AL
0235U-8,,,630.45,1,False,state,AL
0236U-8,,,279.79,1,False,state,AL
0237U-8,,,730.88,1,False,state,AL
0238U-8,,,730.88,1,False,state,AL
0239U-8,,,630.89,1,False,state,AL
0286U-8,,,206.69,1,False,state,AL
0287U-8,,,3105.45,1,False,state,AL
0288U-8,,,1331.44,1,False,state,AL
0289U-8,,,668.43,1,False,state,AL
0290U-8,,,668.43,1,False,state,AL
0291U-8,,,835.54,1,False,state,AL
0292U-8,,,668.43,1,False,state,AL
0293U-8,,,668.43,1,False,state,AL
0294U-8,,,668.43,1,False,state,AL
0295U-8,,,404.86,1,False,state,AL
0296U-8,,,263.75,1,False,state,AL
0297U-8,,,529.56,1,False,state,AL
0298U-8,,,529.56,1,False,state,AL
0299U-8,,,529.56,1,False,state,AL
0300U-8,,,529.56,1,False,state,AL
0301U-8,,,26.98,1,False,state,AL
0302U-8,,,26.98,1,False,state,AL
0420U-8,,,612.75,1,False,state,AL
0421U-8,,,574.88,1,False,state,AL
0423U-8,,,363.19,1,False,state,AL
0424U-8,,,153.19,1,False,state,AL
0425U-8,,,554.5,1,False,state,AL
0426U-8,,,554.5,1,False,state,AL
0427U-8,,,5.08,1,False,state,AL
0428U-8CPT,,,775.64,1,False,state,AL
0430U-8,,,67.82,1,False,state,AL
0431U-8,,,13.22,1,False,state,AL
0432U-8,,,13.22,1,False,state,AL
0433U-8,,,795.82,1,False,state,AL
0434U-8,,,363.19,1,False,state,AL
0435U-8,,,467.2,1,False,state,AL
0436U-8,,,1702.8,1,False,state,AL
0437T-2,,,253.52,1,False,state,AL
0437U-8,,,834.55,1,False,state,AL
0438U-8,,,363.19,1,False,state,AL
0500T-8,,,30.08,1,False,state,AL
0699T-M,,,155.97,1,False,state,AL
0780T-2,,,136.53,1,False,state,AL
09220-I,,,353.38,1,False,state,AL
10004-2,,,52.9,1,False,state,AL
10005-2,,,90.07,1,False,state,AL
10006-2,,,61.41,1,False,state,AL
10007-2,,,115.52,1,False,state,AL
10008-2,,,75.38,1,False,state,AL
10009-2,,,140.44,1,False,state,AL
10010-2,,,102.65,1,False,state,AL
10011-2,,,140.44,1,False,state,AL
10012-2,,,102.65,1,False,state,AL
10021-2,,,87.22,1,False,state,AL
10030-2,,,210.01,1,False,state,AL
10035-2,,,113.39,1,False,state,AL
10036-2,,,57.05,1,False,state,AL
10040-2,,,63.82,1,False,state,AL
10060-2,,,134.52,1,False,state,AL
10061-2,,,218.89,1,False,state,AL
10080-2,,,177.84,1,False,state,AL
10081-2,,,387.59,1,False,state,AL
10120-2,,,127.68,1,False,state,AL
10121-2,,,335.12,1,False,state,AL
10140-2,,,118.55,1,False,state,AL
10160-2,,,109.44,1,False,state,AL
10180-2CPT,,,513.0,1,False,state,AL
11001-2,,,70.68,1,False,state,AL
11004-2,,,932.21,1,False,state,AL
11005-2,,,1024.77,1,False,state,AL
11006-2,,,1165.25,1,False,state,AL
11008-2,,,618.17,1,False,state,AL
11010-2,,,354.48,1,False,state,AL
11011-2,,,558.42,1,False,state,AL
11012-2,,,772.28,1,False,state,AL
11042-2,,,364.81,1,False,state,AL
11043-2,,,569.99,1,False,state,AL
11044-2,,,798.01,1,False,state,AL
11045-2,,,57.41,1,False,state,AL
11046-2,,,102.24,1,False,state,AL
11047-2,,,167.32,1,False,state,AL
11055-2,,,74.04,1,False,state,AL
11056-2,,,97.45,1,False,state,AL
11057-2,,,122.79,1,False,state,AL
11102-2,,,48.07,1,False,state,AL
11103-2,,,27.86,1,False,state,AL
11104-2,,,60.37,1,False,state,AL
11105-2,,,32.92,1,False,state,AL
11106-2,,,73.35,1,False,state,AL
11107-2,,,39.3,1,False,state,AL
11200-2,,,118.55,1,False,state,AL
11201-2,,,59.28,1,False,state,AL
11300-2,,,94.93,1,False,state,AL
11301-2,,,136.84,1,False,state,AL
11302-2,,,156.71,1,False,state,AL
11303-2,,,214.12,1,False,state,AL
11305-2,,,108.17,1,False,state,AL
11306-2,,,132.4,1,False,state,AL
11307-2,,,209.71,1,False,state,AL
11308-2,,,262.65,1,False,state,AL
11310-2,,,165.56,1,False,state,AL
11311-2,,,247.22,1,False,state,AL
11312-2,,,302.4,1,False,state,AL
11313-2,,,386.26,1,False,state,AL
11400-2,,,121.79,1,False,state,AL
11401-2,,,175.19,1,False,state,AL
11402-2,,,198.73,1,False,state,AL
11403-2,,,271.36,1,False,state,AL
11404-2,,,331.22,1,False,state,AL
11406-2,,,470.09,1,False,state,AL
11420-2,,,138.88,1,False,state,AL
11421-2,,,168.82,1,False,state,AL
11422-2,,,267.08,1,False,state,AL
11423-2,,,331.22,1,False,state,AL
11424-2,,,395.31,1,False,state,AL
11426-2,,,523.52,1,False,state,AL
11440-2,,,166.66,1,False,state,AL
11441-2,,,211.52,1,False,state,AL
11442-2,,,318.4,1,False,state,AL
11443-2,,,384.63,1,False,state,AL
11444-2,,,491.47,1,False,state,AL
11446-2,,,576.92,1,False,state,AL
11450-2,,,1072.66,1,False,state,AL
11451-2,,,1402.19,1,False,state,AL
11462-2,,,974.36,1,False,state,AL
11463-2,,,1160.26,1,False,state,AL
11470-2,,,1194.46,1,False,state,AL
11471-2,,,1402.19,1,False,state,AL
11600-2,,,264.5,1,False,state,AL
11601-2,,,314.66,1,False,state,AL
11602-2,,,387.59,1,False,state,AL
11603-2,,,456.01,1,False,state,AL
11604-2,,,558.59,1,False,state,AL
11606-2,,,626.99,1,False,state,AL
11620-2,,,266.77,1,False,state,AL
11621-2,,,337.45,1,False,state,AL
11622-2,,,376.19,1,False,state,AL
11623-2,,,456.01,1,False,state,AL
11624-2,,,581.41,1,False,state,AL
11626-2,,,786.61,1,False,state,AL
11640-2,,,314.66,1,False,state,AL
11641-2CPT,,,353.38,1,False,state,AL
11643-2,,,592.81,1,False,state,AL
11644-2,,,626.99,1,False,state,AL
11646-2,,,775.2,1,False,state,AL
11720-2,,,73.28,1,False,state,AL
11721-2,,,126.72,1,False,state,AL
11730-2,,,150.47,1,False,state,AL
11732-2,,,72.93,1,False,state,AL
11740-2,,,107.11,1,False,state,AL
11750-2,,,615.61,1,False,state,AL
11755-2,,,139.98,1,False,state,AL
11760-2,,,145.93,1,False,state,AL
11762-2,,,649.76,1,False,state,AL
11765-2,,,661.17,1,False,state,AL
11770-2,,,980.39,1,False,state,AL
11771-2,,,1242.58,1,False,state,AL
11772-2,,,1937.96,1,False,state,AL
11900-2,,,63.82,1,False,state,AL
11901-2,,,184.67,1,False,state,AL
11920-2,,,132.25,1,False,state,AL
11921-2,,,200.62,1,False,state,AL
11922-2,,,305.49,1,False,state,AL
11950-2,,,132.25,1,False,state,AL
11951-2,,,200.62,1,False,state,AL
11952-2,,,305.49,1,False,state,AL
11954-2,,,433.17,1,False,state,AL
11960-2,,,4422.01,1,False,state,AL
11970-2,,,4913.35,1,False,state,AL
11971-2,,,4913.35,1,False,state,AL
11980-2,,,248.2,1,False,state,AL
11981-2,,,295.46,1,False,state,AL
11982-2,,,74.76,1,False,state,AL
11983-2,,,370.21,1,False,state,AL
12001-2,,,129.95,1,False,state,AL
12002-2,,,168.74,1,False,state,AL
12004-2,,,223.43,1,False,state,AL
12005-2,,,287.28,1,False,state,AL
12006-2CPT,,,558.59,1,False,state,AL
12011-2,,,150.47,1,False,state,AL
12013-2,,,223.43,1,False,state,AL
12014-2,,,284.99,1,False,state,AL
12015-2,,,323.76,1,False,state,AL
12016-2,,,433.17,1,False,state,AL
12017-2,,,581.41,1,False,state,AL
12018-2,,,615.61,1,False,state,AL
12020-2,,,1345.15,1,False,state,AL
12021-2,,,1766.96,1,False,state,AL
12031-2,,,196.08,1,False,state,AL
12032-2,,,271.29,1,False,state,AL
12034-2,,,376.19,1,False,state,AL
12035-2,,,592.81,1,False,state,AL
12036-2,,,718.18,1,False,state,AL
12037-2,,,775.2,1,False,state,AL
12041-2,,,180.12,1,False,state,AL
12042-2,,,266.77,1,False,state,AL
12044-2,,,305.49,1,False,state,AL
12045-2,,,339.73,1,False,state,AL
12046-2,,,513.0,1,False,state,AL
12047-2,,,581.41,1,False,state,AL
12051-2,,,294.11,1,False,state,AL
12052-2,,,376.19,1,False,state,AL
12053-2,,,433.17,1,False,state,AL
12054-2,,,547.17,1,False,state,AL
12055-2,,,604.2,1,False,state,AL
12056-2,,,877.77,1,False,state,AL
12057-2,,,1185.61,1,False,state,AL
