proc_cd,modifier,description,rate,rate_unit,is_by_report,region_type,region_value
0001U,,,715.61,1,False,state,AL
0002U,,,116.94,1,False,state,AL
0003U,,,127.01,1,False,state,AL
0004U,,,47.86,1,False,state,AL
0005U,,,3106.67,1,False,state,AL
0007U,,,114.41,1,False,state,AL
0008U,,,585.55,1,False,state,AL
0009U,,,29.89,1,False,state,AL
0010U,,,102.3,1,False,state,AL
0011U,,,114.41,1,False,state,AL
0016U,,,218.72,1,False,state,AL
0017M,,,4726.1,1,False,state,AL
0017U,,,122.28,1,False,state,AL
00731,,,369.56,1,False,state,AL
00732,,,369.56,1,False,state,AL
0080U,,,23.19,1,False,state,AL
00811,,,408.45,1,False,state,AL
00812,,,408.45,1,False,state,AL
00813,,,408.45,1,False,state,AL
0082U,,,97.03,1,False,state,AL
0140U,,,27.1,1,False,state,AL
0141U,,,27.1,1,False,state,AL
0142U,,,27.1,1,False,state,AL
0152U,,,27.1,1,False,state,AL
0153U,,,5253.07,1,False,state,AL
0154U,,,108.68,1,False,state,AL
0155U,,,108.68,1,False,state,AL
0156U,,,2562.64,1,False,state,AL
0157U,,,629.27,1,False,state,AL
0158U,,,629.27,1,False,state,AL
0159U,,,629.27,1,False,state,AL
0160U,,,629.27,1,False,state,AL
0161U,,,629.27,1,False,state,AL
0162U,,,1258.53,1,False,state,AL
01953,,,57.95,1,False,state,AL
01967,,,658.55,1,False,state,AL
01968,,,197.57,1,False,state,AL
01996,,,111.72,1,False,state,AL
0228U,,,548.48,1,False,state,AL
0229U,,,619.57,1,False,state,AL
0230U,,,279.79,1,False,state,AL
0231U,,,279.79,1,False,state,AL
0232U,,,279.79,1,False,state,AL
0233U,,,279.79,1,False,state,AL
0234U,,,279.79,1,False,state,AL
0235U,,,630.45,1,False,state,AL
0236U,,,279.79,1,False,state,AL
0237U,,,730.88,1,False,state,AL
0238U,,,730.88,1,False,state,AL
0239U,,,630.89,1,False,state,AL
0286U,,,206.69,1,False,state,AL
0287U,,,3105.45,1,False,state,AL
0288U,,,1331.44,1,False,state,AL
0289U,,,668.43,1,False,state,AL
0290U,,,668.43,1,False,state,AL
0291U,,,835.54,1,False,state,AL
0292U,,,668.43,1,False,state,AL
0293U,,,668.43,1,False,state,AL
0294U,,,668.43,1,False,state,AL
0295U,,,404.86,1,False,state,AL
0296U,,,263.75,1,False,state,AL
0297U,,,529.56,1,False,state,AL
0298U,,,529.56,1,False,state,AL
0299U,,,529.56,1,False,state,AL
0300U,,,529.56,1,False,state,AL
0301U,,,26.98,1,False,state,AL
0302U,,,26.98,1,False,state,AL
0420U,,,612.75,1,False,state,AL
0421U,,,574.88,1,False,state,AL
0423U,,,363.19,1,False,state,AL
0424U,,,153.19,1,False,state,AL
0425U,,,554.5,1,False,state,AL
0426U,,,554.5,1,False,state,AL
0427U,,,5.08,1,False,state,AL
0428U,,,775.64,1,False,state,AL
0430U,,,67.82,1,False,state,AL
0431U,,,13.22,1,False,state,AL
0432U,,,13.22,1,False,state,AL
0433U,,,795.82,1,False,state,AL
0434U,,,363.19,1,False,state,AL
0435U,,,467.2,1,False,state,AL
0436U,,,1702.8,1,False,state,AL
0437T,,,253.52,1,False,state,AL
0437U,,,834.55,1,False,state,AL
0438U,,,363.19,1,False,state,AL
0500T,,,30.08,1,False,state,AL
0699T,,,155.97,1,False,state,AL
0780T,,,136.53,1,False,state,AL
09220,,,353.38,1,False,state,AL
10004,,,52.9,1,False,state,AL
10005,,,90.07,1,False,state,AL
10006,,,61.41,1,False,state,AL
10007,,,115.52,1,False,state,AL
10008,,,75.38,1,False,state,AL
10009,,,140.44,1,False,state,AL
10010,,,102.65,1,False,state,AL
10011,,,140.44,1,False,state,AL
10012,,,102.65,1,False,state,AL
10021,,,87.22,1,False,state,AL
10030,,,210.01,1,False,state,AL
10035,,,113.39,1,False,state,AL
10036,,,57.05,1,False,state,AL
10040,,,63.82,1,False,state,AL
10060,,,134.52,1,False,state,AL
10061,,,218.89,1,False,state,AL
10080,,,177.84,1,False,state,AL
10081,,,387.59,1,False,state,AL
10120,,,127.68,1,False,state,AL
10121,,,335.12,1,False,state,AL
10140,,,118.55,1,False,state,AL
10160,,,109.44,1,False,state,AL
10180,,,513.0,1,False,state,AL
11001,,,70.68,1,False,state,AL
11004,,,932.21,1,False,state,AL
11005,,,1024.77,1,False,state,AL
11006,,,1165.25,1,False,state,AL
11008,,,618.17,1,False,state,AL
11010,,,354.48,1,False,state,AL
11011,,,558.42,1,False,state,AL
11012,,,772.28,1,False,state,AL
11042,,,364.81,1,False,state,AL
11043,,,569.99,1,False,state,AL
11044,,,798.01,1,False,state,AL
11045,,,57.41,1,False,state,AL
11046,,,102.24,1,False,state,AL
11047,,,167.32,1,False,state,AL
11055,,,74.04,1,False,state,AL
11056,,,97.45,1,False,state,AL
11057,,,122.79,1,False,state,AL
11102,,,48.07,1,False,state,AL
11103,,,27.86,1,False,state,AL
11104,,,60.37,1,False,state,AL
11105,,,32.92,1,False,state,AL
11106,,,73.35,1,False,state,AL
11107,,,39.3,1,False,state,AL
11200,,,118.55,1,False,state,AL
11201,,,59.28,1,False,state,AL
11300,,,94.93,1,False,state,AL
11301,,,136.84,1,False,state,AL
11302,,,156.71,1,False,state,AL
11303,,,214.12,1,False,state,AL
11305,,,108.17,1,False,state,AL
11306,,,132.4,1,False,state,AL
11307,,,209.71,1,False,state,AL
11308,,,262.65,1,False,state,AL
11310,,,165.56,1,False,state,AL
11311,,,247.22,1,False,state,AL
11312,,,302.4,1,False,state,AL
11313,,,386.26,1,False,state,AL
11400,,,121.79,1,False,state,AL
11401,,,175.19,1,False,state,AL
11402,,,198.73,1,False,state,AL
11403,,,271.36,1,False,state,AL
11404,,,331.22,1,False,state,AL
11406,,,470.09,1,False,state,AL
11420,,,138.88,1,False,state,AL
11421,,,168.82,1,False,state,AL
11422,,,267.08,1,False,state,AL
11423,,,331.22,1,False,state,AL
