proc_cd,modifier,description,rate,rate_unit,is_by_report,region_type,region_value
70010,,,672.59,1,False,state,AL
70010,26,,264.5,1,False,state,AL
70015,,,672.59,1,False,state,AL
70015,26,,264.5,1,False,state,AL
70030,,,184.67,1,False,state,AL
70030,26,,59.28,1,False,state,AL
70100,,,109.44,1,False,state,AL
70100,26,,50.15,1,False,state,AL
70110,,,143.64,1,False,state,AL
70110,26,,68.39,1,False,state,AL
70120,,,109.44,1,False,state,AL
70120,26,,52.44,1,False,state,AL
70130,,,120.83,1,False,state,AL
70130,26,,75.22,1,False,state,AL
70134,,,164.16,1,False,state,AL
70134,26,,75.22,1,False,state,AL
70140,,,82.1,1,False,state,AL
70140,26,,56.98,1,False,state,AL
70150,,,143.64,1,False,state,AL
70150,26,,72.93,1,False,state,AL
70160,,,86.65,1,False,state,AL
70160,,,50.15,1,False,state,AL
70170,26,,70.68,1,False,state,AL
70190,,,111.72,1,False,state,AL
70190,26,,63.82,1,False,state,AL
70200,,,125.4,1,False,state,AL
70200,26,,70.68,1,False,state,AL
70210,,,76.94,1,False,state,AL
70210,26,,29.9,1,False,state,AL
70220,,,134.61,1,False,state,AL
70220,26,,55.54,1,False,state,AL
70240,,,86.65,1,False,state,AL
70240,26,,41.03,1,False,state,AL
70250,,,114.0,1,False,state,AL
70250,26,,54.73,1,False,state,AL
70260,,,170.98,1,False,state,AL
70260,26,,77.49,1,False,state,AL
70300,,,54.73,1,False,state,AL
70300,26,,15.93,1,False,state,AL
70310,,,75.22,1,False,state,AL
70310,26,,22.81,1,False,state,AL
70320,,,102.58,1,False,state,AL
70320,26,,43.31,1,False,state,AL
70328,,,111.72,1,False,state,AL
70328,26,,52.44,1,False,state,AL
70330,,,136.82,1,False,state,AL
70330,26,,70.68,1,False,state,AL
70332,,,209.76,1,False,state,AL
70332,26,,114.0,1,False,state,AL
70336,,,1117.18,1,False,state,AL
70336,26,,387.59,1,False,state,AL
70350,,,177.84,1,False,state,AL
70350,26,,73.96,1,False,state,AL
70355,,,86.65,1,False,state,AL
70355,26,,66.12,1,False,state,AL
70360,,,91.17,1,False,state,AL
70360,26,,47.86,1,False,state,AL
70370,,,155.04,1,False,state,AL
70370,26,,52.44,1,False,state,AL
70380,,,86.65,1,False,state,AL
70380,26,,45.61,1,False,state,AL
70390,,,184.67,1,False,state,AL
70390,26,,59.28,1,False,state,AL
70450,,,503.87,1,False,state,AL
70450,26,,188.03,1,False,state,AL
70460,,,558.59,1,False,state,AL
70460,26,,209.39,1,False,state,AL
70470,,,679.41,1,False,state,AL
70470,26,,254.28,1,False,state,AL
70480,,,460.82,1,False,state,AL
70480,26,,188.03,1,False,state,AL
70481,,,536.17,1,False,state,AL
70481,26,,217.95,1,False,state,AL
70482,,,638.89,1,False,state,AL
70482,26,,260.68,1,False,state,AL
70486,,,450.35,1,False,state,AL
70486,26,,183.76,1,False,state,AL
70487,,,523.66,1,False,state,AL
70487,26,,213.67,1,False,state,AL
70488,,,638.89,1,False,state,AL
70488,26,,314.66,1,False,state,AL
70490,,,460.82,1,False,state,AL
70490,26,,188.03,1,False,state,AL
70491,,,536.17,1,False,state,AL
70491,26,,217.95,1,False,state,AL
70492,,,638.89,1,False,state,AL
70492,26,,260.68,1,False,state,AL
70496,,,671.2,1,False,state,AL
70496,26,,201.54,1,False,state,AL
70498,,,685.6,1,False,state,AL
70498,26,,205.14,1,False,state,AL
70540,,,1117.18,1,False,state,AL
70540,26,,387.59,1,False,state,AL
70542,,,867.34,1,False,state,AL
70542,26,,260.95,1,False,state,AL
70543,,,1149.86,1,False,state,AL
70543,,,345.5,1,False,state,AL
70544,26,,264.52,1,False,state,AL
70545,,,962.71,1,False,state,AL
70545,26,,289.73,1,False,state,AL
70546,,,1277.61,1,False,state,AL
70546,26,,383.28,1,False,state,AL
70547,,,838.55,1,False,state,AL
70547,26,,251.92,1,False,state,AL
70548,,,914.12,1,False,state,AL
70548,26,,273.52,1,False,state,AL
70549,,,1214.65,1,False,state,AL
70549,26,,365.3,1,False,state,AL
70551,,,1117.18,1,False,state,AL
70551,26,,387.59,1,False,state,AL
70552,,,1120.65,1,False,state,AL
70552,26,,387.59,1,False,state,AL
70553,,,1487.22,1,False,state,AL
70553,26,,387.59,1,False,state,AL
70554,,,434.28,1,False,state,AL
70554,26,,295.75,1,False,state,AL
70555,,,448.3,1,False,state,AL
70555,26,,295.75,1,False,state,AL
70557,26,,340.49,1,False,state,AL
70558,26,,355.8,1,False,state,AL
70559,26,,372.84,1,False,state,AL
71045,,,46.68,1,False,state,AL
71045,26,,18.15,1,False,state,AL
71046,,,66.13,1,False,state,AL
71046,26,,25.94,1,False,state,AL
71047,,,95.95,1,False,state,AL
71047,26,,28.53,1,False,state,AL
71048,,,75.86,1,False,state,AL
71048,26,,28.53,1,False,state,AL
71100,,,123.12,1,False,state,AL
71100,26,,56.98,1,False,state,AL
71101,,,145.93,1,False,state,AL
71101,26,,77.49,1,False,state,AL
71110,,,155.04,1,False,state,AL
71111,,,239.37,1,False,state,AL
71111,26,,111.72,1,False,state,AL
71120,,,120.83,1,False,state,AL
71120,26,,52.44,1,False,state,AL
