ARIZONA PHYSICIANS' FEE SCHEDULE,,,,,
Radiology Codes 2024,,,,,
Radiology Conversion Factor $70.00,,,,,
,,,,,
,,,,,
Code,Category,FY24 NF RVU,FY24 FAC RVU,FY24 NF RBRVS Rate,FY24 FAC RBRVS Rate
10004 00,Surgery,1.57,1.29,113.04,92.88
10005 00,Surgery,4.03,2.16,290.16,155.52
10006 00,Surgery,1.80,1.48,129.60,106.56
10007 00,Surgery,9.11,2.65,655.92,190.80
10008 00,Surgery,4.23,1.52,304.56,109.44
10009 00,Surgery,12.79,3.20,920.88,230.40
10010 00,Surgery,7.05,2.13,507.60,153.36
10011 00,Surgery,-,-,1224.72,600.48
10012 00,Surgery,-,-,740.16,362.88
10021 00,Surgery,3.04,1.63,218.88,117.36
10030 00,Surgery,18.99,3.97,1367.28,285.84
10035 00,Surgery,10.82,2.47,779.04,177.84
10036 00,Surgery,8.85,1.25,637.20,90.00
10040 00,Surgery,3.50,1.55,252.00,111.60
10060 00,Surgery,3.83,3.22,275.76,231.84
10061 00,Surgery,6.47,5.56,465.84,400.32
10080 00,Surgery,7.54,3.18,542.88,228.96
10081 00,Surgery,10.35,5.15,745.20,370.80
10120 00,Surgery,4.59,3.19,330.48,229.68
10121 00,Surgery,7.97,5.52,573.84,397.44
10140 00,Surgery,5.12,3.57,368.64,257.04
10160 00,Surgery,3.91,2.91,281.52,209.52
10180 00,Surgery,7.92,5.39,570.24,388.08
11000 00,Surgery,1.78,0.82,128.16,59.04
11001 00,Surgery,0.82,0.44,59.04,31.68
11004 00,Surgery,16.84,16.84,1212.48,1212.48
11005 00,Surgery,22.95,22.95,1652.40,1652.40
11006 00,Surgery,20.76,20.76,1494.72,1494.72
11008 00,Surgery,8.08,8.08,581.76,581.76
11010 00,Surgery,13.44,8.26,967.68,594.72
11011 00,Surgery,15.01,8.88,1080.72,639.36
11012 00,Surgery,19.54,12.40,1406.88,892.80
11042 00,Surgery,3.90,1.81,280.80,130.32
11043 00,Surgery,6.99,4.58,503.28,329.76
11044 00,Surgery,9.35,6.72,673.20,483.84
11045 00,Surgery,1.20,0.75,86.40,54.00
11046 00,Surgery,2.19,1.63,157.68,117.36
11047 00,Surgery,3.62,2.88,260.64,207.36
11055 00,Surgery,2.14,0.46,154.08,33.12
11056 00,Surgery,2.48,0.65,178.56,46.80
11057 00,Surgery,2.71,0.85,195.12,61.20
11102 00,Surgery,3.02,1.12,217.44,80.64
11103 00,Surgery,1.51,0.65,108.72,46.80
11104 00,Surgery,3.76,1.39,270.72,100.08
11105 00,Surgery,1.79,0.76,128.88,54.72
11106 00,Surgery,4.67,1.68,336.24,120.96
11107 00,Surgery,2.14,0.91,154.08,65.52
11200 00,Surgery,2.79,2.31,200.88,166.32
11201 00,Surgery,0.55,0.48,39.60,34.56
11300 00,Surgery,3.02,1.01,217.44,72.72
11301 00,Surgery,3.65,1.52,262.80,109.44
11302 00,Surgery,4.12,1.77,296.64,127.44
11303 00,Surgery,4.56,2.11,328.32,151.92
11305 00,Surgery,3.16,1.11,227.52,79.92
11306 00,Surgery,3.68,1.45,264.96,104.40
11307 00,Surgery,4.16,1.85,299.52,133.20
