proc_cd,modifier,description,rate,rate_unit,region_type,region_value
70010,,MYELOGRAPY POST FOSSA RS&I,169.82,1,state,GA
70015,,CISTERNOGRAPHY POSITIVE CONTRAST RS&I,491.68,1,state,GA
70015,26,CISTERNOGRAPHY POSITIVE CONTRAST RS&I,164.88,1,state,GA
70015,TC,CISTERNOGRAPHY POSITIVE CONTRAST RS&I,326.8,1,state,GA
70030,,RADIOLOGIC EXAMINATION EYE DETECT FOREIGN BODY,96.76,1,state,GA
70030,26,RADIOLOGIC EXAMINATION EYE DETECT FOREIGN BODY,24.68,1,state,GA
70030,TC,RADIOLOGIC EXAMINATION EYE DETECT FOREIGN BODY,72.08,1,state,GA
70100,,RADIOLOGIC EXAMINATION MANDIPLE PRTL <4 VIEWS,115.51,1,state,GA
70100,26,RADIOLOGIC EXAMINATION MANDIPLE PRTL <4 VIEWS,25.67,1,state,GA
70100,TC,RADIOLOGIC EXAMINATION MANDIPLE PRTL <4 VIEWS,89.84,1,state,GA
70110,,RADIOLOG EXAM MANDIBLE COMPL MINIMUM 4 VIEWS,129.34,1,state,GA
70110,26,RADIOLOG EXAM MANDIBLE COMPL MINIMUM 4 VIEWS,34.56,1,state,GA
70110,TC,RADIOLOG EXAM MANDIBLE COMPL MINIMUM 4 VIEWS,94.78,1,state,GA
70120,,RADIOLOGIC EXAM MASTOIDS < 3 VIEWS PER SIDE,113.54,1,state,GA
70120,26,RADIOLOGIC EXAM MASTOIDS < 3 VIEWS PER SIDE,25.67,1,state,GA
70120,TC,RADIOLOGIC EXAM MASTOIDS < 3 VIEWS PER SIDE,87.87,1,state,GA
70130,,RADEX MASTOIDS COMPL MINIMUM 3 VIEWS PR SIDE,183.64,1,state,GA
70130,26,RADEX MASTOIDS COMPL MINIMUM 3 VIEWS PR SIDE,47.39,1,state,GA
70130,TC,RADEX MASTOIDS COMPL MINIMUM 3 VIEWS PR SIDE,136.25,1,state,GA
70134,,RADEX INTERNAL AUDITORY MEATI COMPLETE,183.64,1,state,GA
70134,26,RADEX INTERNAL AUDITORY MEATI COMPLETE,50.35,1,state,GA
70134,TC,RADEX INTERNAL AUDITORY MEATI COMPLETE,133.29,1,state,GA
70140,,RADEX FACIAL BONES < 3 VIEWS,94.78,1,state,GA
70140,26,RADEX FACIAL BONES < 3 VIEWS,27.64,1,state,GA
70140,TC,RADEX FACIAL BONES < 3 VIEWS,67.14,1,state,GA
70150,,RADEX FACIAL BONES COMPLETE MINIMUM 3 VIEWS,140.2,1,state,GA
70150,26,RADEX FACIAL BONES COMPLETE MINIMUM 3 VIEWS,36.53,1,state,GA
70150,TC,RADEX FACIAL BONES COMPLETE MINIMUM 3 VIEWS,103.67,1,state,GA
70160,,RADEX NASAL BONES COMPLETE MINIMUM 3 VIEWS,111.56,1,state,GA
70160,26,RADEX NASAL BONES COMPLETE MINIMUM 3 VIEWS,23.7,1,state,GA
70160,TC,RADEX NASAL BONES COMPLETE MINIMUM 3 VIEWS,87.86,1,state,GA
70170,,DACRYOCSTOGRAPY NASOLACRIMAL DUCT RS&I,0.0,1,state,GA
70170,26,DACRYOCSTOGRAPY NASOLACRIMAL DUCT RS&I,42.45,1,state,GA
70170,TC,DACRYOCSTOGRAPY NASOLACRIMAL DUCT RS&I,0.0,1,state,GA
70190,,RADEX OPTIC FORAMINA,111.56,1,state,GA
70190,26,RADEX OPTIC FORAMINA,31.59,1,state,GA
70190,TC,RADEX OPTIC FORAMINA,79.97,1,state,GA
70200,,RADEX ORBITS COMPLETE MINIMUM 4 VIEWS,142.17,1,state,GA
70200,26,RADEX ORBITS COMPLETE MINIMUM 4 VIEWS,39.49,1,state,GA
70200,TC,RADEX ORBITS COMPLETE MINIMUM 4 VIEWS,102.68,1,state,GA
70210,,RADEX SINUSES PARANASAL <3 VIEWS,95.77,1,state,GA
70210,26,RADEX SINUSES PARANASAL <3 VIEWS,24.68,1,state,GA
70210,TC,RADEX SINUSES PARANASAL <3 VIEWS,71.09,1,state,GA
70220,,RADEX SINUSES PARANASAL COMPL MINIMUM 3 VIEWS,111.56,1,state,GA
70220,26,RADEX SINUSES PARANASAL COMPL MINIMUM 3 VIEWS,30.61,1,state,GA
70220,TC,RADEX SINUSES PARANASAL COMPL MINIMUM 3 VIEWS,80.95,1,state,GA
70240,,RADIOLOGIC EXAMINATION SELLA TURCICA,97.74,1,state,GA
70240,26,RADIOLOGIC EXAMINATION SELLA TURCICA,26.66,1,state,GA
70240,TC,RADIOLOGIC EXAMINATION SELLA TURCICA,71.08,1,state,GA
70250,,RADIOLOGIC EXAMINATION SKULL 4< VIEWS,106.63,1,state,GA
70250,26,RADIOLOGIC EXAMINATION SKULL 4< VIEWS,25.67,1,state,GA
70250,TC,RADIOLOGIC EXAMINATION SKULL 4< VIEWS,80.96,1,state,GA
70260,,RADIOLOGIC EXAM SKULL COMPLETE MINIMUM 4 VIEWS,132.3,1,state,GA
70260,26,RADIOLOGIC EXAM SKULL COMPLETE MINIMUM 4 VIEWS,39.49,1,state,GA
70260,TC,RADIOLOGIC EXAM SKULL COMPLETE MINIMUM 4 VIEWS,92.81,1,state,GA
70300,,RADIOLOGIC EXAMINATION TEETH 1 VIEW,38.5,1,state,GA
70300,26,RADIOLOGIC EXAMINATION TEETH 1 VIEW,14.81,1,state,GA
70300,TC,RADIOLOGIC EXAMINATION TEETH 1 VIEW,23.69,1,state,GA
70310,,RADIOLOGIC EXAM TEETH PRTL EXAM < FULL MOUTH,120.45,1,state,GA
70310,26,RADIOLOGIC EXAM TEETH PRTL EXAM < FULL MOUTH,23.7,1,state,GA
70310,TC,RADIOLOGIC EXAM TEETH PRTL EXAM < FULL MOUTH,96.75,1,state,GA
70320,,RADIOLOGIC EXAM TEETH COMPLETE FULL MOUTH,157.97,1,state,GA
70320,26,RADIOLOGIC EXAM TEETH COMPLETE FULL MOUTH,31.59,1,state,GA
70320,TC,RADIOLOGIC EXAM TEETH COMPLETE FULL MOUTH,126.38,1,state,GA
70328,,RADEX TEMPOROMANDBLE JT OPN & CLSD MOUTH UNILAT,102.68,1,state,GA
70328,26,RADEX TEMPOROMANDBLE JT OPN & CLSD MOUTH UNILAT,25.67,1,state,GA
