proc_cd,modifier,description,rate,rate_unit,is_by_report,region_type,region_value
70010,,Contrast X -ray of brain,438.0,1,False,state,LA
70010,26,Contrast X -ray of brain,127.0,1,False,state,LA
70010,TC,Contrast X -ray of brain,311.0,1,False,state,LA
70015,,Contrast X -ray of brain,224.0,1,False,state,LA
70015,26,Contrast X -ray of brain,127.0,1,False,state,LA
70015,TC,Contrast X -ray of brain,98.0,1,False,state,LA
70030,,X-ray eye for foreign body,49.0,1,False,state,LA
70030,26,X-ray eye for foreign body,19.0,1,False,state,LA
70030,TC,X-ray eye for foreign body,31.0,1,False,state,LA
70100,,X-ray exam of jaw,58.0,1,False,state,LA
70100,26,X-ray exam of jaw,20.0,1,False,state,LA
70100,TC,X-ray exam of jaw,38.0,1,False,state,LA
70110,,X-ray exam of jaw,73.0,1,False,state,LA
70110,26,X-ray exam of jaw,28.0,1,False,state,LA
70110,TC,X-ray exam of jaw,45.0,1,False,state,LA
70120,,X-ray exam of mastoids,65.0,1,False,state,LA
70120,26,X-ray exam of mastoids,20.0,1,False,state,LA
70120,TC,X-ray exam of mastoids,45.0,1,False,state,LA
70130,,X-ray exam of mastoids,94.0,1,False,state,LA
70130,26,X-ray exam of mastoids,37.0,1,False,state,LA
70130,TC,X-ray exam of mastoids,57.0,1,False,state,LA
70134,,X-ray exam of middle ear,90.0,1,False,state,LA
70134,26,X-ray exam of middle ear,37.0,1,False,state,LA
70134,TC,X-ray exam of middle ear,54.0,1,False,state,LA
70140,,X-ray exam of facial bones,66.0,1,False,state,LA
70140,26,X-ray exam of facial bones,21.0,1,False,state,LA
70140,TC,X-ray exam of facial bones,45.0,1,False,state,LA
70150,,X-ray exam of facial bones,85.0,1,False,state,LA
70150,26,X-ray exam of facial bones,28.0,1,False,state,LA
70150,TC,X-ray exam of facial bones,57.0,1,False,state,LA
70160,,X-ray exam of nasal bones,56.0,1,False,state,LA
70160,26,X-ray exam of nasal bones,19.0,1,False,state,LA
70160,TC,X-ray exam of nasal bones,38.0,1,False,state,LA
70170,,X-ray exam of tear duct,101.0,1,False,state,LA
70170,26,X-ray exam of tear duct,33.0,1,False,state,LA
70170,TC,X-ray exam of tear duct,68.0,1,False,state,LA
70190,,X-ray exam of eye sockets,68.0,1,False,state,LA
70190,26,X-ray exam of eye sockets,23.0,1,False,state,LA
70190,TC,X-ray exam of eye sockets,45.0,1,False,state,LA
70200,,X-ray exam of eye sockets,87.0,1,False,state,LA
70200,26,X-ray exam of eye sockets,31.0,1,False,state,LA
70200,TC,X-ray exam of eye sockets,57.0,1,False,state,LA
70210,,X-ray exam of sinuses,63.0,1,False,state,LA
70210,26,X-ray exam of sinuses,19.0,1,False,state,LA
70210,TC,X-ray exam of sinuses,45.0,1,False,state,LA
70220,,X-ray exam of sinuses,84.0,1,False,state,LA
70220,26,X-ray exam of sinuses,28.0,1,False,state,LA
70220,TC,X-ray exam of sinuses,57.0,1,False,state,LA
70240,,X-ray exam pituitary saddle,51.0,1,False,state,LA
70240,26,X-ray exam pituitary saddle,21.0,1,False,state,LA
70240,TC,X-ray exam pituitary saddle,31.0,1,False,state,LA
70250,,X-ray exam of skull,71.0,1,False,state,LA
70250,26,X-ray exam of skull,26.0,1,False,state,LA
70250,TC,X-ray exam of skull,45.0,1,False,state,LA
70260,,X-ray exam of skull,101.0,1,False,state,LA
70260,26,X-ray exam of skull,37.0,1,False,state,LA
70260,TC,X-ray exam of skull,65.0,1,False,state,LA
70300,,X-ray exam of teeth,31.0,1,False,state,LA
70300,26,X-ray exam of teeth,12.0,1,False,state,LA
70300,TC,X-ray exam of teeth,19.0,1,False,state,LA
70310,,X-ray exam of teeth,47.0,1,False,state,LA
70310,26,X-ray exam of teeth,17.0,1,False,state,LA
70310,TC,X-ray exam of teeth,31.0,1,False,state,LA
70320,,Full mouth X -ray of teeth,81.0,1,False,state,LA
70320,26,Full mouth X -ray of teeth,24.0,1,False,state,LA
70320,TC,Full mouth X -ray of teeth,57.0,1,False,state,LA
70328,,X-ray exam of jaw joint,56.0,1,False,state,LA
70328,26,X-ray exam of jaw joint,20.0,1,False,state,LA
70328,TC,X-ray exam of jaw joint,36.0,1,False,state,LA
70330,,X-ray exam of jaw joints,87.0,1,False,state,LA
70330,26,X-ray exam of jaw joints,26.0,1,False,state,LA
70330,TC,X-ray exam of jaw joints,61.0,1,False,state,LA
70332,,X-ray exam of jaw joint,210.0,1,False,state,LA
70332,26,X-ray exam of jaw joint,59.0,1,False,state,LA
70332,TC,X-ray exam of jaw joint,151.0,1,False,state,LA
70336,,Magnetic image jaw joint,906.0,1,False,state,LA
70336,26,Magnetic image jaw joint,102.0,1,False,state,LA
70336,TC,Magnetic image jaw joint,804.0,1,False,state,LA
70350,,X-ray head for orthodontia,45.0,1,False,state,LA
70350,26,X-ray head for orthodontia,19.0,1,False,state,LA
70350,TC,X-ray head for orthodontia,27.0,1,False,state,LA
70355,,Panoramic X -ray of jaws,63.0,1,False,state,LA
70355,26,Panoramic X -ray of jaws,21.0,1,False,state,LA
70355,TC,Panoramic X-ray of jaws,42.0,1,False,state,LA
70360,,X-ray exam of neck,49.0,1,False,state,LA
70360,26,X-ray exam of neck,19.0,1,False,state,LA
70360,TC,X-ray exam of neck,31.0,1,False,state,LA
70370,,Throat X-ray & fluoroscopy,128.0,1,False,state,LA
70370,26,Throat X-ray & fluoroscopy,35.0,1,False,state,LA
70370,TC,Throat X-ray & fluoroscopy,94.0,1,False,state,LA
70371,,"Speech evaluation, complex",241.0,1,False,state,LA
70371,26,"Speech evaluation, complex",91.0,1,False,state,LA
70371,TC,"Speech evaluation, complex",151.0,1,False,state,LA
70373,,Contrast X -ray of larynx,175.0,1,False,state,LA
70373,26,Contrast X -ray of larynx,47.0,1,False,state,LA
70373,TC,Contrast X -ray of larynx,129.0,1,False,state,LA
70380,,X-ray exam of salivary gland,67.0,1,False,state,LA
70380,26,X-ray exam of salivary gland,19.0,1,False,state,LA
70380,TC,X-ray exam of salivary gland,49.0,1,False,state,LA
70390,,X-ray exam of salivary duct,169.0,1,False,state,LA
70390,26,X-ray exam of salivary duct,41.0,1,False,state,LA
70390,TC,X-ray exam of salivary duct,129.0,1,False,state,LA
70450,,Cat scan of head or brain,430.0,1,False,state,LA
70450,26,Cat scan of head or brain,91.0,1,False,state,LA
70450,TC,Cat scan of head or brain,339.0,1,False,state,LA
70460,,Contrast cat scan of head,528.0,1,False,state,LA
70460,26,Contrast cat scan of head,122.0,1,False,state,LA
70460,TC,Contrast cat scan of head,406.0,1,False,state,LA
70470,,Contrast cat scans of head,643.0,1,False,state,LA
70470,26,Contrast cat scans of head,136.0,1,False,state,LA
70470,TC,Contrast cat scans of head,507.0,1,False,state,LA
70480,,Cat scan of skull,476.0,1,False,state,LA
70480,26,Cat scan of skull,138.0,1,False,state,LA
70480,TC,Cat scan of skull,339.0,1,False,state,LA
70481,,Contrast cat scan of skull,554.0,1,False,state,LA
70481,26,Contrast cat scan of skull,148.0,1,False,state,LA
70481,TC,Contrast cat scan of skull,406.0,1,False,state,LA
70482,,Contrast cat scans of skull,663.0,1,False,state,LA
70482,26,Contrast cat scans of skull,156.0,1,False,state,LA
70482,TC,Contrast cat scans of skull,507.0,1,False,state,LA
70486,,"Cat scan of face, jaw",461.0,1,False,state,LA
70486,26,"Cat scan of face, jaw",122.0,1,False,state,LA
70486,TC,"Cat scan of face, jaw",339.0,1,False,state,LA
70487,,"Contrast cat scan, face/jaw",545.0,1,False,state,LA
70487,26,"Contrast cat scan, face/jaw",139.0,1,False,state,LA
70487,TC,"Contrast cat scan, face/jaw",406.0,1,False,state,LA
70488,,Contrast cat scans face/jaw,660.0,1,False,state,LA
70488,26,Contrast cat scans face/jaw,153.0,1,False,state,LA
70488,TC,Contrast cat scans face/jaw,507.0,1,False,state,LA
70490,,Cat scan of neck tissue,476.0,1,False,state,LA
70490,26,Cat scan of neck tissue,138.0,1,False,state,LA
70490,TC,Cat scan of neck tissue,339.0,1,False,state,LA
70491,,Contrast cat of neck tissue,554.0,1,False,state,LA
70491,26,Contrast cat of neck tissue,148.0,1,False,state,LA
70491,TC,Contrast cat of neck tissue,406.0,1,False,state,LA
70492,,Contrast cat of neck tissue,663.0,1,False,state,LA
70492,26,Contrast cat of neck tissue,156.0,1,False,state,LA
70492,TC,Contrast cat of neck tissue,507.0,1,False,state,LA
70496,26,Ct angiography head,174.0,1,False,state,LA
70496,TC,Ct angiography head,881.0,1,False,state,LA
70496,,Ct angiography head,1055.0,1,False,state,LA
70496,26,Ct angiography head,174.0,1,False,state,LA
70496,TC,Ct angiography head,881.0,1,False,state,LA
70496,,Ct angiography head,1055.0,1,False,state,LA
70498,26,Ct angiography neck,174.0,1,False,state,LA
70498,TC,Ct angiography neck,919.0,1,False,state,LA
70498,,Ct angiography neck,1093.0,1,False,state,LA
70498,26,Ct angiography neck,174.0,1,False,state,LA
70498,TC,Ct angiography neck,919.0,1,False,state,LA
70498,,Ct angiography neck,1093.0,1,False,state,LA
70540,,"Magnetic image, face, neck",963.0,1,False,state,LA
70540,26,"Magnetic image, face, neck",159.0,1,False,state,LA
70540,TC,"Magnetic image, face, neck",804.0,1,False,state,LA
70542,26,Mri orbit/face/neck w/dye,161.0,1,False,state,LA
70542,TC,Mri orbit/face/neck w/dye,807.0,1,False,state,LA
70542,,Mri orbit/face/neck w/dye,969.0,1,False,state,LA
70542,26,Mri orbit/face/neck w/dye,161.0,1,False,state,LA
70542,TC,Mri orbit/face/neck w/dye,807.0,1,False,state,LA
70542,,Mri orbit/face/neck w/dye,969.0,1,False,state,LA
70543,26,Mri orbt/fac/nck w/o &  w/dye,213.0,1,False,state,LA
70543,TC,Mri orbt/fac/nck w/o & w/dye,966.0,1,False,state,LA
70543,,Mri orbt/fac/nck w/o & w/dye,1180.0,1,False,state,LA
70543,26,Mri orbt/fac/nck w/o & w/dye,213.0,1,False,state,LA
70543,TC,Mri orbt/fac/nck w/o & w/dye,966.0,1,False,state,LA
70543,,Mri orbt/fac/nck w/o & w/dye,1180.0,1,False,state,LA
70544,26,Mr angiography head w/o dye,120.0,1,False,state,LA
70544,TC,Mr angiography head w/o dye,849.0,1,False,state,LA
70544,,Mr angiography head w/o dye,969.0,1,False,state,LA
70544,26,Mr angiography head w/o dye,120.0,1,False,state,LA
70544,TC,Mr angiography head w/o dye,849.0,1,False,state,LA
70544,,Mr angiography head w/o dye,969.0,1,False,state,LA
70545,26,Mr angiography head w/dye,119.0,1,False,state,LA
70545,TC,Mr angiography head w/dye,829.0,1,False,state,LA
70545,,Mr angiography head w/dye,948.0,1,False,state,LA
70545,26,Mr angiography head w/dye,119.0,1,False,state,LA
70545,TC,Mr angiography head w/dye,829.0,1,False,state,LA
70545,,Mr angiography head w/dye,948.0,1,False,state,LA
70546,26,Mr angiograph head w/o&w/dye,180.0,1,False,state,LA
70546,TC,Mr angiograph head w/o&w/dye,1281.0,1,False,state,LA
70546,,Mr angiograph head w/o&w/dye,1461.0,1,False,state,LA
70546,26,Mr angiograph head w/o&w/dye,180.0,1,False,state,LA
70546,TC,Mr angiograph head w/o&w/dye,1281.0,1,False,state,LA
70546,,Mr angiograph head w/o&w/dye,1461.0,1,False,state,LA
70547,26,Mr angiography neck w/o dye,120.0,1,False,state,LA
70547,TC,Mr angiography neck w/o dye,849.0,1,False,state,LA
70547,,Mr angiography neck w/o dye,968.0,1,False,state,LA
70547,26,Mr angiography neck w/o dye,120.0,1,False,state,LA
70547,TC,Mr angiography neck w/o dye,849.0,1,False,state,LA
70547,,Mr angiography neck w/o dye,968.0,1,False,state,LA
70548,26,Mr angiography neck w/dye,120.0,1,False,state,LA
70548,TC,Mr angiography neck w/dye,910.0,1,False,state,LA
70548,,Mr angiography neck w/dye,1030.0,1,False,state,LA
70548,26,Mr angiography neck w/dye,120.0,1,False,state,LA
70548,TC,Mr angiography neck w/dye,910.0,1,False,state,LA
70548,,Mr angiography neck w/dye,1030.0,1,False,state,LA
70549,26,Mr angiograph neck w/o&w/dye,179.0,1,False,state,LA
70549,TC,Mr angiograph neck w/o&w/dye,1286.0,1,False,state,LA
70549,,Mr angiograph neck w/o&w/dye,1465.0,1,False,state,LA
70549,26,Mr angiograph neck w/o&w/dye,179.0,1,False,state,LA
70549,TC,Mr angiograph neck w/o&w/dye,1286.0,1,False,state,LA
70549,,Mr angiograph neck w/o&w/dye,1465.0,1,False,state,LA
70551,,"Magnetic image, brain",963.0,1,False,state,LA
70551,26,"Magnetic image, brain",159.0,1,False,state,LA
70551,TC,"Magnetic image, brain",804.0,1,False,state,LA
70552,,"Magnetic image, brain",1155.0,1,False,state,LA
70552,26,"Magnetic image, brain",192.0,1,False,state,LA
70552,TC,"Magnetic image, brain",964.0,1,False,state,LA
70553,,"Magnetic image, brain",2039.0,1,False,state,LA
70553,26,"Magnetic image, brain",255.0,1,False,state,LA
70553,TC,"Magnetic image, brain",1785.0,1,False,state,LA
70554,26,Fmri brain by tech,211.0,1,False,state,LA
70554,TC,Fmri brain by tech,818.0,1,False,state,LA
70554,,Fmri brain by tech,1029.0,1,False,state,LA
70554,26,Fmri brain by tech,211.0,1,False,state,LA
70554,TC,Fmri brain by tech,818.0,1,False,state,LA
70554,,Fmri brain by tech,1029.0,1,False,state,LA
70555,,Fmri brain by phys/psych,261.0,1,False,state,LA
70555,,Fmri brain by phys/psych,261.0,1,False,state,LA
70557,,Mri brain w/o dye,348.0,1,False,state,LA
70557,,Mri brain w/o dye,348.0,1,False,state,LA
70558,,Mri brain w/dye,327.0,1,False,state,LA
70558,,Mri brain w/dye,327.0,1,False,state,LA
70559,,Mri brain w/o & w/dye,330.0,1,False,state,LA
70559,,Mri brain w/o & w/dye,330.0,1,False,state,LA
71010,,Chest X-ray,54.0,1,False,state,LA
71010,26,Chest X-ray,19.0,1,False,state,LA
71010,TC,Chest X-ray,35.0,1,False,state,LA
71015,,X-ray exam of chest,61.0,1,False,state,LA
71015,26,X-ray exam of chest,23.0,1,False,state,LA
71015,TC,X-ray exam of chest,38.0,1,False,state,LA
71020,,Chest X-ray,68.0,1,False,state,LA
71020,26,Chest X-ray,24.0,1,False,state,LA
71020,TC,Chest X-ray,45.0,1,False,state,LA
71021,,Chest X-ray,82.0,1,False,state,LA
71021,26,Chest X-ray,29.0,1,False,state,LA
71021,TC,Chest X-ray,54.0,1,False,state,LA
71022,,Chest X-ray,87.0,1,False,state,LA
71022,26,Chest X-ray,33.0,1,False,state,LA
71022,TC,Chest X-ray,54.0,1,False,state,LA
71023,,Chest X-ray and fluoroscopy,98.0,1,False,state,LA
71023,26,Chest X-ray and fluoroscopy,41.0,1,False,state,LA
71023,TC,Chest X-ray and fluoroscopy,57.0,1,False,state,LA
71030,,Chest X-ray,90.0,1,False,state,LA
71030,26,Chest X-ray,33.0,1,False,state,LA
71030,TC,Chest X-ray,57.0,1,False,state,LA
71034,,Chest X-ray & fluoroscopy,154.0,1,False,state,LA
71034,26,Chest X-ray & fluoroscopy,50.0,1,False,state,LA
71034,TC,Chest X-ray & fluoroscopy,104.0,1,False,state,LA
71035,,Chest X-ray,57.0,1,False,state,LA
71035,26,Chest X-ray,19.0,1,False,state,LA
71035,TC,Chest X-ray,38.0,1,False,state,LA
71040,,Contrast X -ray of bronchi,168.0,1,False,state,LA
71040,26,Contrast X -ray of bronchi,63.0,1,False,state,LA
71040,TC,Contrast X -ray of bronchi,105.0,1,False,state,LA
71060,,Contrast X -ray of bronchi,238.0,1,False,state,LA
71060,26,Contrast X -ray of bronchi,80.0,1,False,state,LA
71060,TC,Contrast X -ray of bronchi,159.0,1,False,state,LA
71100,,X-ray exam of ribs,66.0,1,False,state,LA
71100,26,X-ray exam of ribs,24.0,1,False,state,LA
71100,TC,X-ray exam of ribs,42.0,1,False,state,LA
71101,,"X-ray exam of ribs, chest",78.0,1,False,state,LA
71101,26,"X-ray exam of ribs, chest",30.0,1,False,state,LA
71101,TC,"X-ray exam of ribs, chest",49.0,1,False,state,LA
71110,,X-ray exam of ribs,87.0,1,False,state,LA
71110,26,X-ray exam of ribs,30.0,1,False,state,LA
71110,TC,X-ray exam of ribs,57.0,1,False,state,LA
71111,,"X-ray exam of ribs, chest",99.0,1,False,state,LA
71111,26,"X-ray exam of ribs, chest",35.0,1,False,state,LA
71111,TC,"X-ray exam of ribs, chest",65.0,1,False,state,LA
71120,,X-ray exam of breastbone,68.0,1,False,state,LA
71120,26,X-ray exam of breastbone,21.0,1,False,state,LA
71120,TC,X-ray exam of breastbone,47.0,1,False,state,LA
71130,,X-ray exam of breastbone,74.0,1,False,state,LA
