Code Mod,NCIC Category Assignment,Description,NC Non-Facility Rate,NC Facility Rate
0001U,Clinical Laboratory,RBC DNA HEA 35 AG 11 BLD GRP,1080.00,1080.00
0002U,Clinical Laboratory,ONC CLRCT 3 UR METAB ALG PLP,37.50,37.50
0003U,Clinical Laboratory,ONC OVAR 5 PRTN SER ALG SCOR,1425.00,1425.00
0005U,Clinical Laboratory,ONCO PRST8 3 GENE UR ALG,1140.00,1140.00
0007U,Clinical Laboratory,RX TEST PRSMV UR W/DEF CONF,171.65,171.65
0008U,Clinical Laboratory,HPYLORI DETCJ ABX RSTNC DNA,896.87,896.87
0009U,Clinical Laboratory,ONC BRST CA ERBB2 AMP/NONAMP,160.50,160.50
0010U,Clinical Laboratory,NFCT DS STRN TYP WHL GEN SEQ,640.89,640.89
0011U,Clinical Laboratory,RX MNTR LC-MS/MS ORAL FLUID,171.65,171.65
0016U,Clinical Laboratory,ONC HMTLMF NEO RNA BCR/ABL1,245.94,245.94
0017U,Clinical Laboratory,ONC HMTLMF NEO JAK2 MUT DNA,137.49,137.49
0018U,Clinical Laboratory,ONC THYR 10 MICRORNA SEQ ALG,4503.14,4503.14
0019U,Clinical Laboratory,ONC RNA TISS PREDICT ALG,5512.50,5512.50
0021U,Clinical Laboratory,ONC PRST8 DETCJ 8 AUTOANTB,1140.00,1140.00
0022U,Clinical Laboratory,TGSAP NSM LUNG NEO DNA&RNA23,2925.00,2925.00
0023U,Clinical Laboratory,ONC AML DNA DETCJ/NONDETCJ,372.77,372.77
0024U,Clinical Laboratory,GLYCA NUC MR SPECTRSC QUAN,51.29,51.29
0025U,Clinical Laboratory,TENOFOVIR LIQ CHROM UR QUAN,171.65,171.65
0026U,Clinical Laboratory,ONC THYR DNA&MRNA 112 GENES,5400.00,5400.00
0027U,Clinical Laboratory,JAK2 GENE TRGT SEQ ALYS,182.87,182.87
0029U,Clinical Laboratory,RX METAB ADVRS TRGT SEQ ALYS,1113.41,1113.41
0030U,Clinical Laboratory,RX METAB WARF TRGT SEQ ALYS,201.20,201.20
0031U,Clinical Laboratory,CYP1A2 GENE,262.22,262.22
0032U,Clinical Laboratory,COMT GENE,262.22,262.22
0033U,Clinical Laboratory,HTR2A HTR2C GENES,524.43,524.43
0034U,Clinical Laboratory,TPMT NUDT15 GENES,699.26,699.26
0035U,Clinical Laboratory,NEURO CSF PRION PRTN QUAL,811.49,811.49
0036U,Clinical Laboratory,XOME TUM & NML SPEC SEQ ALYS,7170.00,7170.00
0037U,Clinical Laboratory,TRGT GEN SEQ DNA 324 GENES,5250.00,5250.00
0038U,Clinical Laboratory,VITAMIN D SRM MICROSAMP QUAN,44.40,44.40
0039U,Clinical Laboratory,DNA ANTB 2STRAND HI AVIDITY,20.61,20.61
0040U,Clinical Laboratory,BCR/ABL1 GENE MAJOR BP QUAN,614.85,614.85
0041U,Clinical Laboratory,B BRGDRFERI ANTB 5 PRTN IGM,25.82,25.82
0042T,Other professional services,CT PERFUSION W/CONTRAST CBF,310.94,310.94
0042U,Clinical Laboratory,B BRGDRFERI ANTB 12 PRTN IGG,25.82,25.82
0043U,Clinical Laboratory,TBRF B GRP ANTB 4 PRTN IGM,22.29,22.29
0044U,Clinical Laboratory,TBRF B GRP ANTB 4 PRTN IGG,22.29,22.29
0045U,Clinical Laboratory,ONC BRST DUX CARC IS 12 GENE,5809.50,5809.50
0046U,Clinical Laboratory,FLT3 GENE ITD VARIANTS QUAN,611.15,611.15
0047U,Clinical Laboratory,ONC PRST8 MRNA 17 GENE ALG,5809.50,5809.50
0048U,Clinical Laboratory,ONC SLD ORG NEO DNA 468 GENE,4379.40,4379.40
0049U,Clinical Laboratory,NPM1 GENE ANALYSIS QUAN,611.15,611.15
0050U,Clinical Laboratory,TRGT GEN SEQ DNA 194 GENES,4374.90,4374.90
0051U,Clinical Laboratory,RX MNTR LC-MS/MS UR/BLD 31,370.38,370.38
0052U,Clinical Laboratory,LPOPRTN BLD W/5 MAJ CLASSES,50.79,50.79
0054T,Other professional services,BONE SRGRY CMPTR FLUOR IMAGE,194.54,194.54
0054U,Clinical Laboratory,RX MNTR 14+ DRUGS & SBSTS,298.11,298.11
0055T,Other professional services,BONE SRGRY CMPTR CT/MRI IMAG,194.54,194.54
0055U,Clinical Laboratory,CARD HRT TRNSPL 96 DNA SEQ,4860.00,4860.00
0058U,Clinical Laboratory,ONC MERKEL CLL CARC SRM QUAN,484.44,484.44
0059U,Clinical Laboratory,ONC MERKEL CLL CARC SRM +/-,484.44,484.44
0060U,Clinical Laboratory,TWN ZYG GEN SEQ ALYS CHRMS2,1138.58,1138.58
0061U,Clinical Laboratory,TC MEAS 5 BMRK SFDI M-S ALYS,37.65,37.65
0062U,Clinical Laboratory,AI SLE IGG&IGM ALYS 80 BMRK,571.08,571.08
0063U,Clinical Laboratory,NEURO AUTISM 32 AMINES ALG,1125.00,1125.00
0064U,Clinical Laboratory,ANTB TP TOTAL&RPR IA QUAL,47.00,47.00
0065U,Clinical Laboratory,SYFLS TST NONTREPONEMAL ANTB,27.14,27.14
0067U,Clinical Laboratory,ONC BRST IMHCHEM PRFL 4 BMRK,2845.50,2845.50
0068U,Clinical Laboratory,CANDIDA SPECIES PNL AMP PRB,213.95,213.95
0069U,Clinical Laboratory,ONC CLRCT MICRORNA MIR-31-3P,570.00,570.00
0070U,Clinical Laboratory,CYP2D6 GEN COM&SLCT RAR VRNT,1014.56,1014.56
0071T,Other professional services,US LEIOMYOMATA ABLATE <200,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0071U,Clinical Laboratory,CYP2D6 FULL GENE SEQUENCE,900.00,900.00
0072T,Other professional services,FCSD US ABLTJ LEIOMYOM>=200,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0072U,Clinical Laboratory,CYP2D6 GEN CYP2D6-2D7 HYBRID,676.37,676.37
0073U,Clinical Laboratory,CYP2D6 GEN CYP2D7-2D6 HYBRID,676.37,676.37
0074U,Clinical Laboratory,CYP2D6 NONDUPLICATED GENE,676.37,676.37
0075T,Other professional services,PERQ STENT/CHEST VERT ART,873.12,873.12
0075T-26,Other professional services,PERQ STENT/CHEST VERT ART,1395.75,1395.75
0075T-TC,Other professional services,PERQ STENT/CHEST VERT ART,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0075U,Clinical Laboratory,CYP2D6 5' GENE DUP/MLT,676.37,676.37
0076T,Other professional services,S&I STENT/CHEST VERT ART,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0076T-26,Other professional services,S&I STENT/CHEST VERT ART,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0076T-TC,Other professional services,S&I STENT/CHEST VERT ART,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0076U,Clinical Laboratory,CYP2D6 3' GENE DUP/MLT,676.37,676.37
0077U,Clinical Laboratory,IG PARAPROTEIN QUAL BLD/UR,65.15,65.15
0080U,Clinical Laboratory,ONC LNG 5 CLIN RSK FACTR ALG,5280.00,5280.00
0082U,Clinical Laboratory,RX TEST DEF 90+ RX/SBSTS UR,370.38,370.38
0083U,Clinical Laboratory,ONC RSPSE CHEMO CNTRST TOMOG,251.03,251.03
0084U,Clinical Laboratory,RBC DNA GNOTYP 10 BLD GROUPS,1080.00,1080.00
0086U,Clinical Laboratory,NFCT DS BACT&FNG ORG ID 6+,300.00,300.00
0087U,Clinical Laboratory,CRD HRT TRNSPL MRNA 1283 GEN,4739.13,4739.13
0088U,Clinical Laboratory,TRNSPLJ KDN ALGRFT REJ 1494,4739.13,4739.13
0089U,Clinical Laboratory,ONC MLNMA PRAME & LINC00518,1140.00,1140.00
0090U,Clinical Laboratory,ONC CUTAN MLNMA MRNA 23 GENE,2925.00,2925.00
0092U,Clinical Laboratory,ONC LNG 3 PRTN BMRK PLSM ALG,3732.00,3732.00
0093U,Clinical Laboratory,RX MNTR 65 COM DRUGS URINE,93.21,93.21
0094U,Clinical Laboratory,GENOME RAPID SEQUENCE ALYS,11373.30,11373.30
0095T,Other professional services,RMVL ARTIFIC DISC ADDL CRVCL,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0095U,Clinical Laboratory,EE 2 PRTN BMRK&MBP ELISA EST,1157.97,1157.97
0096U,Clinical Laboratory,HPV HI RISK TYPES MALE URINE,52.64,52.64
0098T,Other professional services,REV ARTIFIC DISC ADDL,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0100T,Other professional services,PROSTH RETINA RECEIVE&GEN,1764.33,1764.33
0101T,Other professional services,ESW MUSCSKEL SYS NOS,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0101U,Clinical Laboratory,HERED COLON CA DO 15 GENES,2615.93,2615.93
0102T,Other professional services,ESW PHY ANES LAT HMRL EPCNDL,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0102U,Clinical Laboratory,HERED BRST CA RLTD DO 17 GEN,1955.93,1955.93
0103U,Clinical Laboratory,HERED OVA CA PNL 24 GENES,2615.93,2615.93
0105U,Clinical Laboratory,NEPH CKD MULT ECLIA TUM NEC,1425.00,1425.00
0106T,Other professional services,TOUCH QUANT SENSORY TEST,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0106U,Clinical Laboratory,GSTR EMPTG 7 TIMED BRTH SPEC,1311.74,1311.74
0107T,Other professional services,VIBRATE QUANT SENSORY TEST,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0107U,Clinical Laboratory,C DIFF TOX AG DETCJ IA STOOL,24.00,24.00
0108T,Other professional services,COOL QUANT SENSORY TEST,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0108U,Clinical Laboratory,GI BARRETT ESOPH 9 PRTN BMRK,7425.00,7425.00
0109T,Other professional services,HEAT QUANT SENSORY TEST,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0109U,Clinical Laboratory,ID ASPERGILLUS DNA 4 SPECIES,213.95,213.95
