proc_cd,modifier,description,rate,rate_unit,is_by_report,region_type,region_value
70010,,,120.40,1,False,state,AZ
70015,,,348.60,1,False,state,AZ
70015,26,,116.90,1,False,state,AZ
70015,TC,,231.70,1,False,state,AZ
70030,,,68.60,1,False,state,AZ
70030,26,,17.50,1,False,state,AZ
70030,TC,,51.10,1,False,state,AZ
70100,,,81.90,1,False,state,AZ
70100,26,,18.20,1,False,state,AZ
70100,TC,,63.70,1,False,state,AZ
70110,,,91.70,1,False,state,AZ
70110,26,,24.50,1,False,state,AZ
70110,TC,,67.20,1,False,state,AZ
70120,,,80.50,1,False,state,AZ
70120,26,,18.20,1,False,state,AZ
70120,TC,,62.30,1,False,state,AZ
70130,,,130.20,1,False,state,AZ
70130,26,,33.60,1,False,state,AZ
70130,TC,,96.60,1,False,state,AZ
70134,,,130.20,1,False,state,AZ
70134,26,,35.70,1,False,state,AZ
70134,TC,,94.50,1,False,state,AZ
70140,,,67.20,1,False,state,AZ
70140,26,,19.60,1,False,state,AZ
70140,TC,,47.60,1,False,state,AZ
70150,,,99.40,1,False,state,AZ
70150,26,,25.90,1,False,state,AZ
70150,TC,,73.50,1,False,state,AZ
70160,,,79.10,1,False,state,AZ
70160,26,,16.80,1,False,state,AZ
70160,TC,,62.30,1,False,state,AZ
70170,,,103.60,1,False,state,AZ
70170,26,,30.10,1,False,state,AZ
70170,TC,,73.50,1,False,state,AZ
70190,,,79.10,1,False,state,AZ
70190,26,,22.40,1,False,state,AZ
70190,TC,,56.70,1,False,state,AZ
70200,,,100.80,1,False,state,AZ
70200,26,,28.00,1,False,state,AZ
70200,TC,,72.80,1,False,state,AZ
70210,,,67.90,1,False,state,AZ
70210,26,,17.50,1,False,state,AZ
70210,TC,,50.40,1,False,state,AZ
70220,,,79.10,1,False,state,AZ
70220,26,,21.70,1,False,state,AZ
70220,TC,,57.40,1,False,state,AZ
70240,,,69.30,1,False,state,AZ
70240,26,,18.90,1,False,state,AZ
70240,TC,,50.40,1,False,state,AZ
70250,,,76.30,1,False,state,AZ
70250,26,,18.20,1,False,state,AZ
70250,TC,,58.10,1,False,state,AZ
70260,,,93.80,1,False,state,AZ
70260,26,,28.00,1,False,state,AZ
70260,TC,,65.80,1,False,state,AZ
70300,,,27.30,1,False,state,AZ
70300,26,,10.50,1,False,state,AZ
70300,TC,,16.80,1,False,state,AZ
70310,,,85.40,1,False,state,AZ
70310,26,,16.80,1,False,state,AZ
70310,TC,,68.60,1,False,state,AZ
70320,,,112.00,1,False,state,AZ
70320,26,,22.40,1,False,state,AZ
70320,TC,,89.60,1,False,state,AZ
70328,,,72.80,1,False,state,AZ
70328,26,,18.20,1,False,state,AZ
70328,TC,,54.60,1,False,state,AZ
70330,,,111.30,1,False,state,AZ
70330,26,,23.80,1,False,state,AZ
70330,TC,,87.50,1,False,state,AZ
70332,,,173.60,1,False,state,AZ
70332,26,,53.20,1,False,state,AZ
70332,TC,,120.40,1,False,state,AZ
70336,,,570.50,1,False,state,AZ
70336,26,,144.90,1,False,state,AZ
70336,TC,,425.60,1,False,state,AZ
70350,,,35.00,1,False,state,AZ
70350,26,,17.50,1,False,state,AZ
70350,TC,,17.50,1,False,state,AZ
70355,,,38.50,1,False,state,AZ
70355,26,,20.30,1,False,state,AZ
70355,TC,,18.20,1,False,state,AZ
70360,,,65.80,1,False,state,AZ
70360,26,,18.20,1,False,state,AZ
70360,TC,,47.60,1,False,state,AZ
70370,,,220.50,1,False,state,AZ
70370,26,,31.50,1,False,state,AZ
70370,TC,,189.00,1,False,state,AZ
70371,,,229.60,1,False,state,AZ
70371,26,,86.10,1,False,state,AZ
70371,TC,,143.50,1,False,state,AZ
70380,,,79.10,1,False,state,AZ
70380,26,,16.80,1,False,state,AZ
70380,TC,,62.30,1,False,state,AZ
70390,,,242.90,1,False,state,AZ
70390,26,,37.10,1,False,state,AZ
70390,TC,,205.80,1,False,state,AZ
70450,,,228.20,1,False,state,AZ
70450,26,,83.30,1,False,state,AZ
70450,TC,,144.90,1,False,state,AZ
70460,,,319.20,1,False,state,AZ
70460,26,,111.30,1,False,state,AZ
70460,TC,,207.90,1,False,state,AZ
70470,,,373.80,1,False,state,AZ
70470,26,,125.30,1,False,state,AZ
70470,TC,,248.50,1,False,state,AZ
70480,,,342.30,1,False,state,AZ
70480,26,,126.70,1,False,state,AZ
70480,TC,,215.60,1,False,state,AZ
70481,,,389.20,1,False,state,AZ
70481,26,,111.30,1,False,state,AZ
70481,TC,,277.90,1,False,state,AZ
70482,,,454.30,1,False,state,AZ
70482,26,,124.60,1,False,state,AZ
70482,TC,,329.70,1,False,state,AZ
70486,,,275.80,1,False,state,AZ
70486,26,,84.00,1,False,state,AZ
70486,TC,,191.80,1,False,state,AZ
70487,,,327.60,1,False,state,AZ
70487,26,,110.60,1,False,state,AZ
70487,TC,,217.00,1,False,state,AZ
70488,,,396.90,1,False,state,AZ
70488,26,,124.60,1,False,state,AZ
70488,TC,,272.30,1,False,state,AZ
70490,,,322.70,1,False,state,AZ
70490,26,,126.00,1,False,state,AZ
70490,TC,,196.70,1,False,state,AZ
70491,,,396.90,1,False,state,AZ
70491,26,,135.80,1,False,state,AZ
70491,TC,,261.10,1,False,state,AZ
70492,,,476.00,1,False,state,AZ
70492,26,,158.20,1,False,state,AZ
70492,TC,,317.80,1,False,state,AZ
70496,,,594.30,1,False,state,AZ
70496,26,,171.50,1,False,state,AZ
70496,TC,,422.80,1,False,state,AZ
70498,,,593.60,1,False,state,AZ
70498,26,,171.50,1,False,state,AZ
70498,TC,,422.10,1,False,state,AZ
70540,,,488.60,1,False,state,AZ
70540,26,,132.30,1,False,state,AZ
70540,TC,,356.30,1,False,state,AZ
70542,,,579.60,1,False,state,AZ
70542,26,,158.90,1,False,state,AZ
70542,TC,,420.70,1,False,state,AZ
70543,,,731.50,1,False,state,AZ
70543,26,,210.70,1,False,state,AZ
70543,TC,,520.80,1,False,state,AZ
70544,,,465.50,1,False,state,AZ
70544,26,,117.60,1,False,state,AZ
70544,TC,,347.90,1,False,state,AZ
70545,,,490.70,1,False,state,AZ
70545,26,,117.60,1,False,state,AZ
70545,TC,,373.10,1,False,state,AZ
70546,,,713.30,1,False,state,AZ
70546,26,,145.60,1,False,state,AZ
70546,TC,,567.70,1,False,state,AZ
70547,,,466.20,1,False,state,AZ
70547,26,,117.60,1,False,state,AZ
70547,TC,,348.60,1,False,state,AZ
70548,,,532.00,1,False,state,AZ
70548,26,,147.70,1,False,state,AZ
70548,TC,,384.30,1,False,state,AZ
70549,,,746.20,1,False,state,AZ
70549,26,,176.40,1,False,state,AZ
70549,TC,,569.80,1,False,state,AZ
70551,,,423.50,1,False,state,AZ
70551,26,,145.60,1,False,state,AZ
70551,TC,,277.90,1,False,state,AZ
70552,,,583.80,1,False,state,AZ
70552,26,,175.00,1,False,state,AZ
70552,TC,,408.80,1,False,state,AZ
70553,,,687.40,1,False,state,AZ
70553,26,,224.70,1,False,state,AZ
70553,TC,,462.70,1,False,state,AZ
70554,,,821.10,1,False,state,AZ
70554,26,,208.60,1,False,state,AZ
70554,TC,,612.50,1,False,state,AZ
70555,,,1441.30,1,False,state,AZ
70555,26,,245.00,1,False,state,AZ
70555,TC,,1196.30,1,False,state,AZ
70557,,,315.00,1,False,state,AZ
70557,26,,315.00,1,False,state,AZ
70557,TC,,BR,1,False,state,AZ
70558,,,1388.80,1,False,state,AZ
70558,26,,347.20,1,False,state,AZ
70558,TC,,1041.60,1,False,state,AZ
70559,,,905.80,1,False,state,AZ
70559,26,,326.20,1,False,state,AZ
