proc_cd,modifier,description,rate,rate_unit,is_by_report,region_type,region_value
99091,,COLLJ & INTERPJ PHYSIOL DATA MIN 30 MIN EA 30 D,94.75,1,False,state,GA
99202,,OFFICE O/P NEW SF 15 MIN,127.7,1,False,state,GA
99203,,OFFICE O/P NEW LOW 30 MIN,197.15,1,False,state,GA
99204,,OFFICE O/P NEW MOD 45 MIN,295.43,1,False,state,GA
99205,,OFFICE O/P NEW HI 60 MIN,389.59,1,False,state,GA
99211,,OFF/OP EST MAY X REQ PHY/QHP,41.2,1,False,state,GA
99212,,OFFICE/OUTPATIENT ESTABLISHED SF MDM 10 MIN,100.05,1,False,state,GA
99213,,OFFICE/OUTPATIENT ESTABLISHED LOW MDM 20 MIN,160.66,1,False,state,GA
99214,,OFFICE/OUTPATIENT ESTABLISHED MOD MDM 30 MIN,226.57,1,False,state,GA
99215,,OFFICE/OUTPATIENT ESTABLISHED HIGH MDM 40 MIN,318.97,1,False,state,GA
99221,,1ST HOSPITAL IP/OBS CARE SF/LOW MDM 40 MINUTES,144.77,1,False,state,GA
99222,,1ST HOSPITAL IP/OBS CARE MODERATE MDM 55 MINUTES,228.34,1,False,state,GA
99223,,1ST HOSPITAL IP/OBS CARE HIGH MDM 75 MINUTES,302.49,1,False,state,GA
99231,,SBSQ HOSPITAL IP/OBS CARE SF/LOW MDM 25 MINUTES,86.51,1,False,state,GA
99232,,SBSQ HOSPITAL IP/OBS CARE MOD MDM 35 MINUTES,137.71,1,False,state,GA
99233,,SBSQ HOSPITAL IP/OBS CARE HIGH MDM 50 MINUTES,207.15,1,False,state,GA
99234,,HOSPITAL IP/OBS CARE SAME DATE SF/LOW MDM 45 MIN,170.67,1,False,state,GA
99235,,HOSPITAL IP/OBS CARE SAME DATE MOD MDM 70 MIN,278.36,1,False,state,GA
99236,,HOSPITAL IP/OBS CARE SAME DATE HIGH MDM 85 MIN,363.69,1,False,state,GA
99238,,HOSPITAL IP/OBS DISCHARGE DAY MGMT 30 MIN/<,141.83,1,False,state,GA
99239,,HOSPITAL IP/OBS DISCHARGE DAY MGMT > 30 MIN,200.09,1,False,state,GA
99242,,OFFICE/OP CONSLTJ NEW/EST PT SF MDM 20 MINUTES,132.41,1,False,state,GA
99243,,OFFICE/OP CONSLTJ NEW/EST PT LOW MDM 30 MINUTES,198.32,1,False,state,GA
99244,,OFFICE/OP CONSLTJ NEW/EST PT MOD MDM 40 MINUTES,283.07,1,False,state,GA
