proc_cd,modifier,description,rate,rate_unit,is_by_report,region_type,region_value
90281,,IMMUNE GLOBULIN IG HUMAN IM USE,,1,True,state,GA
90283,,IMMUNE GLOBULIN IGIV HUMAN IV USE,,1,True,state,GA
90284,,IMMUNE GLOBULIN HUMAN SUBQ INFUSION 100 MG EA,,1,True,state,GA
90287,,BOTULINUM ANTITOXIN EQUINE ANY ROUTE,,1,True,state,GA
90288,,BOTULISM IMMUNE GLOBULIN HUMAN INTRAVENOUS USE,,1,True,state,GA
90291,,CYTOMEGALOVIRUS IMMUNE GLOBULIN HUMAN IV,,1,True,state,GA
90296,,DIPHTHERIA ANTITOXIN EQUINE ANY ROUTE,,1,True,state,GA
90371,,HEPATITIS B IMMUNE GLOBULIN HBIG HUMAN IM,275.01,1,False,state,GA
90375,,RABIES IMMUNE GLOBULIN RIG HUMAN IM/SUBQ,578.35,1,False,state,GA
90376,,RABIES IG HEAT-TREATED HUMAN IM/SUBQ,956.77,1,False,state,GA
90377,,RABIES IG HEAT&SOLVENT/DETERGENT HUMAN IM&/SUBQ,511.2,1,False,state,GA
90378,,RESPIRATORY SYNCYTIAL VIRUS IG IM 50 MG E,,1,True,state,GA
90380,,RSV MONOCLONAL ANTB SEASONAL DOSE 0.5ML IM USE,,1,True,state,GA
90381,,RSV MONOCLONAL ANTB SEASONAL DOSE 1 ML IM USE,,1,True,state,GA
90384,,RHO(D) IMMUNE GLOBULIN HUMAN FULL-DOSE IM,,1,True,state,GA
90385,,RHO(D) IMMUNE GLOBULIN HUMAN MINI-DOSE IM,,1,True,state,GA
90386,,RHO(D) IMMUNE GLOBULIN HUMAN IV,,1,True,state,GA
90389,,TETANUS IMMUNE GLOBULIN TIG HUMAN IM,,1,True,state,GA
90393,,VACCINIA IMMUNE GLOBULIN HUMAN IM,,1,True,state,GA
90396,,VARICELLA-ZOSTER IMMUNE GLOBULIN HUMAN IM,,1,True,state,GA
90399,,UNLISTED IMMUNE GLOBULIN,,1,True,state,GA
90460,,IM ADM THRU 18YR ANY RTE 1ST/ONLY COMPT VAC/TOX,45.81,1,False,state,GA
90461,,IM ADM THRU 18YR ANY RTE ADDL VAC/TOX COMPT,17.26,1,False,state,GA
90471,,IM ADM PRQ ID SUBQ/IM NJXS 1 VACCINE,41.16,1,False,state,GA
90472,,IM ADM PRQ ID SUBQ/IM NJXS EA VACCINE,29.21,1,False,state,GA
90473,,IM ADM INTRANSL/ORAL 1 VACCINE,33.2,1,False,state,GA
90474,,IM ADM INTRANSL/ORAL EA VACCINE,23.9,1,False,state,GA
90476,,ADENOVIRUS VACCINE TYPE 4 LIVE ORAL,,1,True,state,GA
90477,,ADENOVIRUS VACCINE TYPE 7 LIVE FOR ORAL,,1,True,state,GA
90480,,ADMN SARSCOV2 VACC 1 DOSE,,1,True,state,GA
90581,,ANTHRAX VACCINE SUBCUTANEOUS/IM USE,,1,True,state,GA
90584,,DENGUE VACC QUAD LIVE 2 DOSE SCHEDULE SUBQ USE,,1,True,state,GA
90585,,BACILLUS CALMETTE-GUERIN VACC FOR TB LIVE PERQ,,1,True,state,GA
90586,,BACILLUS CALMETTE-GUERIN VACCINE INTRAVESICAL,288.2,1,False,state,GA
90587,,DENGUE VACC QUAD LIVE 3 DOSE SCHEDULE SUBQ USE,,1,True,state,GA
90589,,CHIKUNGUNYA VIRUS VACCINE LIVE FOR IM USE,,1,True,state,GA
90611,,SMALLPOX&MONKEYPOX VACC 0.5ML DOS FOR SUBQ USE,,1,True,state,GA
90619,,MENACWY-TT CONJ VACC SEROGROUPS ACWY FOR IM USE,,1,True,state,GA
90620,,MENB-4C RECOMBNT PROT & OUTER MEMB VESIC VACC IM,,1,True,state,GA
